<Name>	<Channel>	<Duration>	<URL>
《名探偵コナン：迷宮的十字路》主題曲(中日字幕)：倉木麻衣 Time after time ～花舞う街で～	許庭瀚Inventor 發明家 697	 4:03	https://www.youtube.com/watch?v=arOmXIT3HBA&pp=gAQBiAQB8AUB	1
TVアニメ『明日ちゃんのセーラー服』OPテーマ「はじまりのセツナ」リリックビデオ | Blu-ray&DVD 4.27 ON SALE	アニプレックス チャンネルInventor 發明家 697	 4:08	https://www.youtube.com/watch?v=NNDS_UyHzvk&pp=gAQBiAQB8AUB	1
milet×Aimer×幾田りら - おもかげ (produced by Vaundy) / THE FIRST TAKE	THE FIRST TAKEInventor 發明家 697	 4:05	https://www.youtube.com/watch?v=Z2Z9V-4DMGw&pp=gAQBiAQB8AUB	1
キサラギ＝アリス(CV:富田美憂)、スノウ(CV:菊池紗矢香)、ロゼ(CV:村上奈津実)、グリム(CV:高橋ミナミ) / Home Sweet Home(TVアニメ「戦闘員、派遣します!」EDテーマ)	日本コロムビア 公式YouTubeチャンネルGeorge	 1:23	https://www.youtube.com/watch?v=1IOAM_GdcZQ&pp=iAQB8AUB	1
八木海莉 『Ripe Aster』	八木海莉Inventor 發明家 697	 3:40	https://www.youtube.com/watch?v=GHalblJtLDA&pp=gAQBiAQB8AUB	1
After LIKE	IVEGeorge	 2:57	https://www.youtube.com/watch?v=g92HIac9ufA&pp=iAQB8AUB	1
【TRUE】「Blast!」Music Video（『劇場版 響け！ユーフォニアム～誓いのフィナーレ～』主題歌）	TRUE Official ChannelGeorge	 4:34	https://www.youtube.com/watch?v=FMln2YjLbIM&pp=iAQB8AUB	1
鏈鋸人 [ED 完整版]『CHAINSAW BLOOD』Vaundy【中日歌詞】	親親2o音樂LîvË【Anime Music】Inventor 發明家 697	 3:56	https://www.youtube.com/watch?v=en3e6AgWroc&pp=gAQBiAQB8AUB	1
amazarashi『境界線』Music Video	amazarashi Official YouTube ChannelGeorge	 	https://www.youtube.com/watch?v=gB3gUq5A1W0&pp=iAQB8AUB	1
派對咖孔明 OP 「チキチキバンバン」完整版 By QUEENDOM	二乃是天千棘是宇宙！！！Inventor 發明家 697	 3:57	https://www.youtube.com/watch?v=V6Lwltc-Kxo&pp=gAQBiAQB8AUB	1
Sing My Pleasure (Grace Version)	Grace (Vo.Hikari Kodama) - TopicGeorge	 3:38	https://www.youtube.com/watch?v=edcZaqRceKc&pp=iAQB8AUB	1
忠義之歌 中華民國海軍軍歌 軍歌傳唱	我愛中華George	 2:27	https://www.youtube.com/watch?v=gmlDirDA83I&pp=iAQB8AUB	1
King Gnu - 一途	King Gnu official YouTube channelInventor 發明家 697	 3:11	https://www.youtube.com/watch?v=hm1na9R2uYA&pp=gAQBiAQB8AUB	1
ReoNa 『まっさら』-Music Video-	ReoNa official YouTube channelGeorge	 4:33	https://www.youtube.com/watch?v=758KBn27Kow&pp=iAQB8AUB	1
supercell - My Dearest	spcl ryoInventor 發明家 697	 5:45	https://www.youtube.com/watch?v=nIrYjzHAEp0&pp=gAQBiAQB8AUB	1
Old Town Road (Remix)	Lil Nas XGeorge	 2:38	https://www.youtube.com/watch?v=TxcmdhjmnEE&pp=iAQB8AUB	1
Aimer 「Deep down」MUSIC VIDEO（TVアニメ「チェンソーマン」エンディング・テーマ）	Aimer Official YouTube ChannelGeorge	 3:57	https://www.youtube.com/watch?v=X75Qy-GiW4Y&pp=iAQB8AUB	1
My Nonfiction	Miyuki Shirogane(CV:Makoto Furukawa) - TopicInventor 發明家 697	 2:36	https://www.youtube.com/watch?v=kuEl3LL3CD0&pp=gAQBiAQB8AUB	1
Torn	Ava MaxGeorge	 3:19	https://www.youtube.com/watch?v=Eh-Fb0hjqR4&pp=iAQB8AUB	1
TVアニメ『かぐや様は告らせたい-ウルトラロマンティック-』第5話エンディング映像♪「My Nonfiction」	アニプレックス チャンネルInventor 發明家 697	 1:50	https://www.youtube.com/watch?v=yWp6SXivHBQ&pp=gAQBiAQB8AUB	1
