<Name>	<Channel>	<Duration>	<URL>
給我ㄧ首歌的時間	周杰倫 Jay ChouGeorge	4:14	https://www.youtube.com/watch?v=GMLiH4ndCZY&pp=gAQBiAQB8AUB	1
LILAC (라일락)	이지금 [IU Official]George	3:35	https://www.youtube.com/watch?v=04tYkKUPPv4&pp=gAQBiAQB8AUB	1
Torn	Ava MaxGeorge	3:19	https://www.youtube.com/watch?v=Eh-Fb0hjqR4&pp=gAQBiAQB8AUB	3
Love Again	Dua LipaGeorge	4:19	https://www.youtube.com/watch?v=IkL-RjXJLv0&pp=gAQBiAQB8AUB	1
Payphone	Maroon 5George	3:52	https://www.youtube.com/watch?v=smKgVuSB18k&pp=gAQBiAQB8AUB	1
Save Your Tears ((Remix) Bonus Track)	The WeekndGeorge	3:12	https://www.youtube.com/watch?v=lS9Kgp6PsWY&pp=gAQBiAQB8AUB	2
All We Know	The ChainsmokersGeorge	3:15	https://www.youtube.com/watch?v=Gr6g3-6VQoE&pp=gAQBiAQB8AUB	2
WANNABE	ITZYGeorge	3:12	https://www.youtube.com/watch?v=xgiN9zNZCuM&pp=gAQBiAQB8AUB	1
將軍令	Mayday - TopicGeorge	3:39	https://www.youtube.com/watch?v=2AZhOw_6mGU&pp=gAQBiAQB8AUB	1
aespa 'Hold On Tight' (Tetris Motion Picture Soundtrack) Visualizer	aespaGeorge	2:30	https://www.youtube.com/watch?v=fvtzZFhrKLE&pp=gAQBiAQB8AUB	1
Calvin Harris - Outside (Official Video) ft. Ellie Goulding	Calvin HarrisGeorge	3:46	https://www.youtube.com/watch?v=J9NQFACZYEU&pp=gAQBiAQB8AUB	3
凉凉	Various Artists - TopicGeorge	5:34	https://www.youtube.com/watch?v=gijiPftOZzg&pp=gAQBiAQB8AUB	1
Memories	Maroon 5George	3:10	https://www.youtube.com/watch?v=lNilb-EaTOU&pp=gAQBiAQB8AUB	1
Just Dance	Lady GagaGeorge	4:02	https://www.youtube.com/watch?v=ACNwMzZejQQ&pp=gAQBiAQB8AUB	2
Bad Romance	Lady GagaGeorge	4:55	https://www.youtube.com/watch?v=J2kPH11Z4cM&pp=gAQBiAQB8AUB	3
STAYC(스테이씨) '색안경 (STEREOTYPE)' MV	STAYCGeorge	3:12	https://www.youtube.com/watch?v=Xmxcnf2v_gs&pp=gAQBiAQB8AUB	1
TOMBOY	(G)I-DLE (여자)아이들 (Official YouTube Channel)George	2:55	https://www.youtube.com/watch?v=aFoqCI75WoY&pp=gAQBiAQB8AUB	1
Play Hard (feat. Ne-Yo & Akon) (New Edit)	David GuettaGeorge	3:29	https://www.youtube.com/watch?v=a2CTWkTQY6A&pp=gAQBiAQB8AUB	2
We Don't Talk Anymore (feat. Selena Gomez)	Charlie PuthGeorge	3:38	https://www.youtube.com/watch?v=ffqliB42Nh4&pp=gAQBiAQB8AUB	2
夜曲	周杰倫 Jay ChouGeorge	3:49	https://www.youtube.com/watch?v=Ii46Q7i4uuk&pp=gAQBiAQB8AUB	2
Sweet but Psycho	Ava MaxGeorge	3:08	https://www.youtube.com/watch?v=ttznokjeSnw&pp=gAQBiAQB8AUB	1
小酒窩	JJ Lin林俊傑George	3:37	https://www.youtube.com/watch?v=6axxQqjRzkE&pp=gAQBiAQB8AUB	1
After LIKE	IVEGeorge	2:57	https://www.youtube.com/watch?v=g92HIac9ufA&pp=gAQBiAQB8AUB	3
Dark Horse	Katy PerryGeorge	3:36	https://www.youtube.com/watch?v=gxTRx4uurxs&pp=gAQBiAQB8AUB	3
Metro Boomin, The Weeknd, 21 Savage - Creepin' (Visualizer)	Metro BoominGeorge	3:42	https://www.youtube.com/watch?v=61ymOWwOwuk&pp=gAQBiAQB8AUB	2
LOVE DIVE (LOVE DIVE)	IVEGeorge	2:58	https://www.youtube.com/watch?v=hh5GKVa8VtM&pp=gAQBiAQB8AUB	3
愛情你比我想的閣較偉大 -《當男人戀愛時》電影主題曲	茄子蛋EggPlantEggGeorge	3:53	https://www.youtube.com/watch?v=zTntSG7KcBk&pp=gAQBiAQB8AUB	3
Craig David & Galantis - DNA (Official Lyric Video)	GalantisGeorge	2:58	https://www.youtube.com/watch?v=9W-qv0X9SlU&pp=gAQBiAQB8AUB	2
李聖傑 Sam Lee【痴心絕對 Devotion Love】Official Music Video	滾石唱片 ROCK RECORDSGeorge	4:17	https://www.youtube.com/watch?v=7NIsBeVRAgk&pp=gAQBiAQB8AUB	3
Physical	Dua LipaGeorge	3:14	https://www.youtube.com/watch?v=Yegn0dZ-BfY&pp=gAQBiAQB8AUB	3
JISOO - ‘꽃(FLOWER)’ M/V	BLACKPINKGeorge	3:05	https://www.youtube.com/watch?v=YudHcBIxlYw&pp=gAQBiAQB8AUB	3
Beautiful Mistakes	Maroon 5George	3:19	https://www.youtube.com/watch?v=EFIMMVKQQaE&pp=gAQBiAQB8AUB	2
Poker Face	Lady GagaGeorge	3:58	https://www.youtube.com/watch?v=oG-4Uvhm4lI&pp=gAQBiAQB8AUB	3
Counting Stars	OneRepublicGeorge	4:18	https://www.youtube.com/watch?v=_GWKkqNoyEA&pp=gAQBiAQB8AUB	1
Break My Heart	Dua LipaGeorge	3:42	https://www.youtube.com/watch?v=NaaiI1y9QIo&pp=gAQBiAQB8AUB	1
Let it go	George	5:12	https://www.youtube.com/watch?v=XP6ox2euvOg&pp=ygUWbGV0IGlmIGdvIOWkqeS9v-S5i-aIgA%3D%3D	1
【373】[feat. 美波, SAKURAmoti] アイウエ / MAISONdes	MAISONdes -メゾン・デ-Wang wen-ho	3:46	https://www.youtube.com/watch?v=fwzRR6Bsro4&pp=gAQBiAQB8AUB	1
ゆうゆ feat.初音ミク「深海少女」 MUSIC VIDEO	crownrecordevan	3:39	https://www.youtube.com/watch?v=2CwBFr-Eoxg&pp=gAQBiAQB8AUB	1
Panic! At The Disco - High Hopes (Official Video)	Panic! At The DiscoWang wen-ho	3:17	https://www.youtube.com/watch?v=IPXIgEAGe4U&pp=gAQBiAQB8AUB	1
【試著唱了】不協和音 / 欅坂46【天神子兎音cover】	天神 子兎音 Tenjin KotoneInventor 發明家 697	4:13	https://www.youtube.com/watch?v=rEiCTfOcCZs&pp=gAQBiAQB8AUB	1
ALI - LOST IN PARADISE feat. AKLO（Re-edit ver.）	ALIWang wen-ho	5:28	https://www.youtube.com/watch?v=tLsJQ5srVQA&pp=gAQBiAQB8AUB	1
陸上自衛隊 北部方面隊歌	Note :Pevan	3:04	https://www.youtube.com/watch?v=v0_LyEQqq5c&pp=gAQBiAQB8AUB	1
TVアニメ『明日ちゃんのセーラー服』OPテーマ「はじまりのセツナ」リリックビデオ | Blu-ray&DVD 4.27 ON SALE	アニプレックス チャンネルInventor 發明家 697	4:08	https://www.youtube.com/watch?v=NNDS_UyHzvk&pp=gAQBiAQB8AUB	1
ひめごと*クライシスターズ	ONIMAI SISTERS - Topicevan	3:35	https://www.youtube.com/watch?v=53MsnhKmTIc&pp=gAQBiAQB8AUB	1
Sasha Alex Sloan - Older (Lyric Video)	Sasha Alex SloanInventor 發明家 697	3:12	https://www.youtube.com/watch?v=r1Fx0tqK5Z4&pp=gAQBiAQB8AUB	1
【NATIONALIST CHINESE SONG】Anthem of Whampoa Military Academy (黄埔军校校歌) w/ ENG lyrics	The 51st Divisionevan	2:01	https://www.youtube.com/watch?v=C_LoEFBKzm4&pp=gAQBiAQB8AUB	1
Cö shu Nie – give it back (Official Video) / TVアニメ『呪術廻戦』第2クール エンディング主題歌	Cö shu Nie Official ChannelWang wen-ho	3:36	https://www.youtube.com/watch?v=QJ8P-81gYA8&pp=gAQBiAQB8AUB	1
Sasha Alex Sloan - House With No Mirrors (Official Video)	Sasha Alex SloanInventor 發明家 697	3:49	https://www.youtube.com/watch?v=xfGyS4xeG3w&pp=gAQBiAQB8AUB	1
空軍軍歌 🇹🇼 - 視訊剪輯版	Tom Bear  🇦🇺 - Musicevan	1:45	https://www.youtube.com/watch?v=FSVSBcFrcXA&pp=gAQBiAQB8AUB	1
Sasha Alex Sloan - Normal (Official Video)	Sasha Alex SloanInventor 發明家 697	3:28	https://www.youtube.com/watch?v=PpCs4UwkhH8&pp=gAQBiAQB8AUB	1
TSUNAMI - Finana Ryugu (Original MV)	Finana Ryugu 【NIJISANJI EN】Inventor 發明家 697	3:17	https://www.youtube.com/watch?v=3i_TLQsaAgU&pp=gAQBiAQB8AUB	1
アイデン貞貞メルトダウン	Enako feat. Pmarusama - Topicevan	4:04	https://www.youtube.com/watch?v=SID2OofwYyM&pp=gAQBiAQB8AUB	1
Feel the winds	Yui Hizuki - TopicWang wen-ho	4:05	https://www.youtube.com/watch?v=upRt9_dvixQ&pp=gAQBiAQB8AUB	1
Endless Tears feat. 中村舞子 - Love is a beautiful pain『喜歡你真的好痛苦。』【中日動態歌詞Lyrics】	EHPMusicChannelInventor 發明家 697	4:25	https://www.youtube.com/watch?v=_5_IpEvuIw4&pp=gAQBiAQB8AUB	1
誰も彼も何処も何も知らない	ASOBI Doumei - TopicWang wen-ho	3:41	https://www.youtube.com/watch?v=q3dVzLU1X4s&pp=gAQBiAQB8AUB	1
莎夏斯隆 Sasha Sloan / 只有我嗎？Is It Just Me? (中字MV)	台灣索尼音樂 Sony Music TaiwanInventor 發明家 697	3:33	https://www.youtube.com/watch?v=GUin7vn87kI&pp=gAQBiAQB8AUB	1
吹響吧！上低音號~OP1「DREAM SOLISTER」	aka tsukievan	4:58	https://www.youtube.com/watch?v=V45fdZuOU6M&pp=gAQBiAQB8AUB	1
Mia Rodriguez - I LUV U [Official Music Video]	mia rodriguezWang wen-ho	2:28	https://www.youtube.com/watch?v=YmfUJpiJ1kM&pp=gAQBiAQB8AUB	1
